Energy,Thickness,Angle,Count
9,0.0005,90,155
9,0.001,90,392
9,0.002,90,879
9,0.0035,90,1804
9,0.0015,90,639
9,0.0045,90,2533
9,0.0025,90,1165
9,0.003,90,1537
9,0.004,90,2200
9,0.005,90,2929
9,0.0055,90,3558
9,0.006,90,4188
9,0.0065,90,4937
9,0.007,90,5899
9,0.0075,90,6664
9,0.008,90,7500
9,0.009,90,9137
9,0.0085,90,8208
9,0.0095,90,9817
9,0.01,90,10874
9,0.0105,90,11942
9,0.011,90,12998
9,0.012,90,15147
9,0.0115,90,14097
9,0.0125,90,16142
9,0.013,90,17278
9,0.0135,90,18406
9,0.014,90,19151
9,0.0145,90,20426
9,0.015,90,20916
9,0.0155,90,22082
9,0.016,90,23172
9,0.0165,90,24055
9,0.017,90,25314
9,0.0175,90,26138
9,0.018,90,26980
9,0.0185,90,28296
9,0.019,90,29055
9,0.0195,90,29862
9,0.02,90,30630
9,0.0205,90,31685
9,0.021,90,32785
9,0.0215,90,33400
9,0.022,90,34354
9,0.0225,90,35432
9,0.023,90,36352
9,0.0235,90,37348
9,0.024,90,37819
9,0.0245,90,39006
9,0.025,90,40275
9,0.0255,90,41074
9,0.026,90,41634
9,0.0265,90,42484
9,0.027,90,43281
9,0.0275,90,44329
9,0.028,90,45074
9,0.0285,90,46078
9,0.029,90,46743
9,0.0295,90,47812
9,0.03,90,48895
9,0.0305,90,49526
9,0.031,90,50589
9,0.0315,90,51278
9,0.032,90,52121
9,0.0325,90,52649
9,0.033,90,53864
9,0.0335,90,54755
9,0.034,90,55374
9,0.0345,90,56587
9,0.035,90,57482
9,0.0355,90,57834
9,0.036,90,58541
9,0.0365,90,59696
9,0.037,90,60197
9,0.0375,90,61318
9,0.038,90,61996
9,0.0385,90,62635
9,0.039,90,63462
9,0.0395,90,64523
9,0.04,90,64883
9,0.0405,90,65614
9,0.041,90,66733
9,0.0415,90,66941
9,0.042,90,67948
9,0.0425,90,68620
9,0.043,90,69164
9,0.0435,90,69963
9,0.044,90,70707
9,0.0445,90,71429
9,0.045,90,72030
9,0.0455,90,72670
9,0.046,90,73427
9,0.0465,90,74231
9,0.047,90,74927
9,0.0475,90,75461
9,0.048,90,76006
9,0.0485,90,76960
9,0.049,90,77043
9,0.0495,90,78076
9,0.05,90,78260
9,0.002,90,-2
9,0.001,90,-1
9,0.0035,90,3
9,0.0045,90,3
9,0.003,90,5
9,0.0005,90,1
9,0.004,90,7
9,0.0055,90,4
9,0.0025,90,0
9,0.006,90,5
9,0.005,90,1
9,0.0015,90,1
9,0.0065,90,3
9,0.007,90,9
9,0.008,90,7
9,0.0085,90,10
9,0.0075,90,12
9,0.009,90,13
9,0.0105,90,4
9,0.0095,90,6
9,0.01,90,17
9,0.011,90,9
9,0.012,90,-1
9,0.0115,90,6
9,0.0125,90,18
9,0.013,90,6
9,0.0135,90,4
9,0.0145,90,15
9,0.014,90,10
9,0.015,90,5
9,0.0155,90,18
9,0.0165,90,8
9,0.0175,90,11
9,0.018,90,10
9,0.017,90,18
9,0.016,90,7
9,0.0185,90,8
9,0.019,90,10
9,0.0195,90,10
9,0.02,90,10
9,0.0205,90,15
9,0.021,90,-1
9,0.0215,90,10
9,0.0225,90,9
9,0.022,90,21
9,0.0235,90,9
9,0.023,90,12
9,0.024,90,28
9,0.0245,90,20
9,0.025,90,-4
9,0.0255,90,13
9,0.026,90,12
9,0.0265,90,7
9,0.027,90,19
9,0.0275,90,12
9,0.028,90,6
9,0.0285,90,15
9,0.029,90,10
9,0.0295,90,21
9,0.03,90,32
9,0.0305,90,18
9,0.031,90,24
9,0.0315,90,13
9,0.032,90,29
9,0.0325,90,20
9,0.033,90,11
9,0.034,90,31
9,0.0335,90,26
9,0.0345,90,19
9,0.035,90,26
9,0.036,90,25
9,0.0355,90,18
9,0.0365,90,13
9,0.037,90,13
9,0.001,90,-25
9,0.003,90,12
9,0.0035,90,5
9,0.0005,90,3
9,0.0045,90,14
9,0.002,90,17
9,0.0015,90,10
9,0.0055,90,-20
9,0.006,90,-24
9,0.004,90,11
9,0.0025,90,11
9,0.005,90,11
9,0.0065,90,6
9,0.008,90,-2
9,0.007,90,8
9,0.0075,90,10
9,0.0085,90,16
9,0.009,90,19
9,0.0095,90,0
9,0.01,90,9
9,0.0105,90,6
9,0.0115,90,24
9,0.011,90,13
9,0.012,90,11
9,0.0125,90,16
9,0.013,90,17
9,0.0135,90,7
9,0.014,90,25
9,0.0145,90,22
9,0.015,90,11
9,0.0155,90,15
9,0.0165,90,19
9,0.016,90,29
9,0.017,90,29
9,0.0175,90,16
9,0.018,90,22
9,0.0185,90,18
9,0.019,90,15
9,0.02,90,24
9,0.0195,90,35
9,0.0205,90,14
9,0.021,90,12
9,0.0215,90,23
9,0.0225,90,24
9,0.022,90,27
9,0.023,90,19
9,0.0235,90,29
9,0.024,90,19
9,0.0245,90,23
9,0.025,90,10
9,0.0255,90,22
9,0.026,90,19
9,0.0265,90,15
9,0.027,90,34
9,0.0275,90,26
9,0.0285,90,34
9,0.028,90,21
9,0.029,90,38
9,0.0295,90,19
9,0.03,90,42
9,0.0305,90,33
9,0.0005,90,30
9,0.001,90,34
9,0.002,90,53
9,0.0035,90,61
9,0.0015,90,49
9,0.003,90,88
9,0.0025,90,49
9,0.0055,90,112
9,0.004,90,74
9,0.005,90,88
9,0.006,90,101
9,0.0045,90,115
9,0.0065,90,138
9,0.007,90,128
9,0.0075,90,103
9,0.008,90,90
9,0.0085,90,125
9,0.009,90,138
9,0.01,90,142
9,0.0095,90,150
9,0.0105,90,160
9,0.012,90,160
9,0.011,90,178
9,0.0115,90,186
9,0.0125,90,216
9,0.013,90,164
9,0.0135,90,167
9,0.014,90,207
9,0.0145,90,175
9,0.015,90,163
9,0.0155,90,154
9,0.016,90,184
9,0.0165,90,196
9,0.017,90,225
9,0.0175,90,219
9,0.018,90,193
9,0.0185,90,262
9,0.019,90,175
9,0.0195,90,209
9,0.0245,90,262
9,0.025,90,175
9,0.02,90,238
9,0.0205,90,267
9,0.0255,90,209
9,0.026,90,262
9,0.021,90,233
9,0.0215,90,240
9,0.0265,90,175
9,0.022,90,296
9,0.0225,90,156
9,0.027,90,238
9,0.023,90,258
9,0.0275,90,267
9,0.028,90,209
9,0.024,90,268
9,0.0285,90,262
9,0.0235,90,236
9,0.029,90,233
9,0.0295,90,240
9,0.03,90,175
9,0.0305,90,296
9,0.031,90,156
9,0.0315,90,238
9,0.032,90,258
9,0.0325,90,267
9,0.033,90,209
9,0.034,90,262
9,0.0345,90,236
9,0.0335,90,268
9,0.035,90,233
9,0.0355,90,240
9,0.036,90,175
9,0.003,90,0
9,0.0005,90,0
9,0.002,90,0
9,0.004,90,0
9,0.0035,90,0
9,0.0015,90,0
9,0.0025,90,0
9,0.001,90,0
9,0.0045,90,0
9,0.005,90,0
9,0.0055,90,0
9,0.006,90,0
9,0.005,90,0
9,0.03,90,0
9,0.045,90,0
9,0.035,90,0
9,0.015,90,0
9,0.02,90,0
9,0.025,90,0
9,0.05,90,0
9,0.04,90,0
9,0.015,90,0
9,0.01,90,0
9,0.005,90,0
9,0.05,90,0
9,0.03,90,0
9,0.02,90,0
9,0.025,90,0
9,0.04,90,0
9,0.035,90,0
9,0.045,90,0
9,0.01,90,0
9,0.05,90,0
9,0.005,90,0
9,0.04,90,0
9,0.02,90,0
9,0.015,90,0
9,0.025,90,0
9,0.045,90,0
9,0.03,90,0
9,0.035,90,0
9,0.005,90,0
