Energy,Thickness,A,x0,Count
5.0,0.5,,-96285342.468321,121.0
5.0,1.0,,-68293319.14529097,117.0
5.0,1.5,,-36370142.33138843,109.0
5.0,2.0,,-84406323.51353616,96.0
5.0,2.5,,-144903020.5416159,81.0
5.0,3.0,,-52468655.34254867,73.0
5.0,3.5,,-77637369.63353407,60.0
5.0,4.0,,-59006168.522073425,50.0
5.0,4.5,,-115067237.44543944,54.0
5.0,5.0,,-65711935.884749606,53.0
5.0,5.5,,-27074152.80515023,33.0
5.0,6.0,,-61816124.66759786,35.0
10.0,0.5,,-71843210.74097422,832.0
5.0,6.5,,-148724529.87392315,26.0
5.0,7.0,,-13400521.803100329,26.0
5.0,7.5,,-29539737.93505136,29.0
5.0,8.0,,-65437894.55049562,18.0
10.0,1.0,,2.849242175627804,1751.0
5.0,8.5,,-45458561.06543064,30.0
5.0,9.0,,-116165693.22742309,15.0
5.0,10.0,,1.1780292345275982,9.0
5.0,9.5,,-104572533.43382996,19.0
10.0,1.5,,2.614477255909454,1851.0
10.0,2.0,,-101435573.28319392,1673.0
10.0,2.5,,-86899657.6544546,1587.0
10.0,3.0,,-120023214.90568964,1401.0
10.0,3.5,,-108865419.4433189,1405.0
10.0,4.0,,-319119005.9448616,1277.0
10.0,4.5,,-176757079.05422494,1164.0
10.0,5.0,,-179034875.5483604,1111.0
10.0,5.5,,-105163666.01913846,1017.0
10.0,6.0,,-118079988.99871692,969.0
10.0,6.5,,-119389823.84648448,892.0
10.0,7.0,,-198186846.16310683,869.0
15.0,0.5,,-194929821.44915596,1406.0
10.0,7.5,,-122556273.45333809,852.0
10.0,8.0,,-118145756.90370569,804.0
15.0,1.0,,-104461463.9564363,3999.0
10.0,8.5,,-118316579.75890352,681.0
15.0,1.5,,-206601420.5389179,5722.0
10.0,9.0,,-70467050.75079319,707.0
15.0,2.0,,-290635119.4626863,6163.0
10.0,9.5,,-199257036.4738527,675.0
10.0,10.0,,-324363972.19350004,591.0
15.0,2.5,,-183933672.18471977,6022.0
15.0,3.0,,-109155607.67547646,5704.0
15.0,3.5,,-177186429.13403556,5322.0
15.0,4.0,,-183126510.80191588,5031.0
15.0,4.5,,-165089954.32247207,4719.0
15.0,5.0,,-158016381.53782606,4442.0
20.0,0.5,,-233187603.4158526,2018.0
15.0,5.5,,-306097588.7919543,4090.0
20.0,1.0,,-261994626.97959697,5970.0
15.0,6.0,,-206632555.209976,3766.0
15.0,6.5,,-161724432.91152298,3556.0
15.0,7.0,,-150608577.2795475,3458.0
20.0,1.5,,4.843206163764966,9875.0
15.0,7.5,,3.7157277987838446,3167.0
15.0,8.0,,-273257188.04851073,3045.0
15.0,8.5,,3.7991371001769783,2961.0
15.0,9.0,,3.7813530787368665,2749.0
20.0,2.0,,-273826692.2221793,12190.0
15.0,9.5,,3.874460033802596,2580.0
15.0,10.0,,3.7927029914352857,2486.0
20.0,2.5,,-289662201.3918451,13049.0
20.0,3.0,,-250021048.28608403,12915.0
20.0,3.5,,-264536948.2972205,12229.0
20.0,4.0,,-263645894.0865279,11612.0
20.0,4.5,,-268871658.55619675,10998.0
20.0,5.0,,-274514069.40279526,10278.0
40.0,0.5,,9.589224746600236,4373.0
20.0,5.5,,4.495404605875273,9719.0
40.0,1.0,,-560078783.7231144,13649.0
20.0,6.0,,-283275450.4286981,9190.0
20.0,6.5,,-424692202.74841255,8546.0
40.0,1.5,,-506456218.3742384,24490.0
20.0,7.0,,-179136745.92068237,8015.0
20.0,7.5,,-514575390.4051688,7599.0
40.0,2.0,,-377148576.1443152,35392.0
20.0,8.0,,-277590328.43003625,7201.0
20.0,8.5,,-170825487.3383882,6781.0
20.0,9.0,,-434484240.1005906,6308.0
40.0,2.5,,-304321919.7944121,44216.0
40.0,3.0,,-750375121.0719187,50243.0
20.0,9.5,,-233313331.4628772,6127.0
20.0,10.0,,-263167770.97525105,5729.0
40.0,3.5,,-404252841.4423264,54070.0
40.0,4.0,,-499444635.9669821,55783.0
40.0,4.5,,-326338716.70356685,56030.0
70.0,0.5,,12.520711704205588,6985.0
40.0,5.0,,-412593052.2968409,54654.0
70.0,1.0,,-1034261549.1821864,23126.0
40.0,5.5,,-307858164.4873617,52921.0
70.0,1.5,,-535838997.3799037,43732.0
40.0,6.0,,-263906113.2874999,50902.0
40.0,6.5,,-404590730.518205,48331.0
70.0,2.0,,-1166418041.154416,65746.0
40.0,7.0,,-327303779.6948748,45680.0
70.0,2.5,,-832961990.7987298,85252.0
40.0,7.5,,-393064779.9928014,43061.0
70.0,3.0,,-872080186.2051122,103267.0
40.0,8.0,,-269627342.51386315,40455.0
40.0,8.5,,-497852003.8976475,38310.0
70.0,3.5,,-610053886.9762954,117867.0
40.0,9.0,,-286629132.12125015,36404.0
40.0,9.5,,-470571642.89590573,34584.0
70.0,4.0,,-418858479.1046324,128883.0
70.0,4.5,,-653279227.9042201,135488.0
40.0,10.0,,-450274626.2024022,32549.0
100.0,0.5,,15.3942239436788,9111.0
100.0,1.0,,-823668620.7900516,30444.0
70.0,5.0,,-566204708.628768,140675.0
70.0,5.5,,-707180867.7320621,141754.0
100.0,1.5,,-910444112.6784638,58599.0
100.0,2.0,,-1105116776.347877,89877.0
70.0,6.0,,-788269793.2782973,140430.0
100.0,2.5,,-1029599747.247244,119952.0
70.0,6.5,,-485895600.61794174,138096.0
100.0,3.0,,-1003515881.851612,148405.0
70.0,7.0,,-513991302.4498729,133542.0
100.0,3.5,,-979459925.587874,172971.0
70.0,7.5,,-529230418.6064467,128770.0
70.0,8.0,,-741852205.857018,123721.0
100.0,4.0,,-578117861.5833613,194617.0
70.0,8.5,,-749621173.5734068,117974.0
100.0,4.5,,-560573556.3987544,210100.0
70.0,9.0,,-502911861.1385664,112325.0
70.0,9.5,,-732325211.9914129,106431.0
100.0,5.0,,-1182258587.5485191,221660.0
70.0,10.0,,-807935902.6473792,100976.0
100.0,5.5,,-950063566.9197176,228844.0
100.0,6.0,,-816213086.60924,232171.0
100.0,6.5,,-767631790.7414236,233020.0
100.0,7.0,,-770948001.8313293,230455.0
100.0,7.5,,-942358525.7847975,226374.0
100.0,8.0,,-790406572.8275967,219765.0
100.0,8.5,,-787590483.0350115,212934.0
100.0,9.0,,10.984878084275016,204100.0
100.0,9.5,,-1120587785.3074057,195875.0
100.0,10.0,,-589610407.155065,185985.0
